"id","category","name_ro","name_ru","description_ro","description_ru","price","image_url","tag_ro","tag_ru","image_fit","active","order"
"daily-kebab","kebab","Daily Kebab 400g","Daily Kebab 400 г","Lavaș, dublu carne de pui, roșii, ceapă roșie, sos special","Лаваш, двойная порция куриного мяса, помидоры, красный лук, специальный соус","100","","Special","Особый","cover","TRUE","1"
"fitness-kebab","kebab","Fitness Kebab 400g","Fitness Kebab 400 г","Lavaș, nuggets pui, porumb dulce, iceberg, castraveți proaspeți, mozzarella, sos special","Лаваш, куриные наггетсы, сладкая кукуруза, салат айсберг, свежие огурцы, моцарелла, специальный соус","95","","","","cover","TRUE","2"
"big-daily-chicken-kebab","kebab","Big Daily Chicken Kebab 800g","Big Daily Chicken Kebab 800 г","Lavaș, carne de pui, cașcaval, cartofi pai, varză, castraveți proaspeți, roșii, sos","Лаваш, куриное мясо, сыр, картофель фри, капуста, свежие огурцы, помидоры, соус","140","","Big","Большой","cover","TRUE","3"
"big-daily-pork-kebab","kebab","Big Daily Pork Kebab 800g","Big Daily Pork Kebab 800 г","Lavaș, carne de porc, cașcaval, cartofi pai, varză, castraveți proaspeți, roșii, sos","Лаваш, свинина, сыр, картофель фри, капуста, свежие огурцы, помидоры, соус","150","","Big","Большой","cover","TRUE","4"
"kebab-pui","kebab","Kebab de Pui 400g","Кебаб с курицей 400 г","Lavaș, carne de pui, cartofi pai, varză, castraveți murați, roșii, sos","Лаваш, куриное мясо, картофель фри, капуста, маринованные огурцы, помидоры, соус","80","","Popular","Популярное","cover","TRUE","5"
"cheese-kebab-pui","kebab","Cheese Kebab Pui 400g","Сырный кебаб с курицей 400 г","Lavaș cheese, carne de pui, cașcaval, cartofi pai, varză, castraveți murați, roșii, sos","Сырный лаваш, куриное мясо, сыр, картофель фри, капуста, маринованные огурцы, помидоры, соус","100","","","","cover","TRUE","6"
"kebab-porc","kebab","Kebab de Porc 400g","Кебаб со свининой 400 г","Lavaș, carne de porc, cartofi pai, varză, castraveți murați, roșii, sos","Лаваш, свинина, картофель фри, капуста, маринованные огурцы, помидоры, соус","90","","","","cover","TRUE","7"
"nuggets-kebab","kebab","Nuggets Kebab 400g","Кебаб с наггетсами 400 г","Lavaș, carne de pui pane, cartofi pai, varză, castraveți, ardei dulce, roșii, sos","Лаваш, куриное мясо в панировке, картофель фри, капуста, огурцы, сладкий перец, помидоры, соус","85","","","","cover","TRUE","8"
"cheese-nuggets-kebab","kebab","Cheese Nuggets Kebab 400g","Сырный кебаб с наггетсами 400 г","Lavaș cheese, cașcaval, carne de pui pane, cartofi pai, varză, castraveți proaspeți, roșii, sos","Сырный лаваш, сыр, куриное мясо в панировке, картофель фри, капуста, свежие огурцы, помидоры, соус","105","","","","cover","TRUE","9"
"chicken-kebab-tray","kebab","Chicken Kebab Tray 450g","Куриный кебаб на тарелке 450 г","carne de pui, cașcaval, cartofi pai, sos la alegere","Куриное мясо, сыр, картофель фри, соус на выбор","85","","","","cover","TRUE","10"
"pork-kebab-tray","kebab","Pork Kebab Tray 450g","Кебаб со свининой на тарелке 450 г","carne de porc, cașcaval, cartofi pai, sos la alegere","Свинина, сыр, картофель фри, соус на выбор","95","","","","cover","TRUE","11"
"crispy-chicken-kebab-tray","kebab","Crispy Chicken Kebab Tray 450g","Хрустящий куриный кебаб на тарелке 450 г","carne crocantă de pui, cașcaval, cartofi pai, sos la alegere","Хрустящее куриное мясо, сыр, картофель фри, соус на выбор","90","","","","cover","TRUE","12"
"baconero-tray","kebab","Baconero Tray 450g","Baconero на тарелке 450 г","bacon, ciuperci, cașcaval, cartofi pai, sos la alegere","Бекон, грибы, сыр, картофель фри, соус на выбор","90","","","","cover","TRUE","13"
"daily-falafel-kebab","kebab","Daily Falafel Kebab 400g","Daily Falafel Kebab 400 г","lavaș, falafel, varză, cartofi pai, roșii, castraveți murați, ceapă, ardei, sos de post, ketchup","Лаваш, фалафель, капуста, картофель фри, помидоры, маринованные огурцы, лук, перец, постный соус, кетчуп","80","","Veggie","Вегетарианский","contain","TRUE","14"
"daily-kebab-de-post","kebab","Daily Kebab de Post 400g","Постный Daily Kebab 400 г","lavaș, ciuperci, ardei dulce, castraveți murați, roșii, cartofi pai, sos de post","Лаваш, грибы, сладкий перец, маринованные огурцы, помидоры, картофель фри, постный соус","80","","De post","Постный","cover","TRUE","15"
"special-burger","burger","Special Burger 290g","Special Burger 290 г","carne porc-vită, sos special, cheddar, bacon","Мясо из свинины и говядины, специальный соус, чеддер, бекон","100","","Special","Особый","contain","TRUE","1"
"big-special-burger","burger","Big Special Burger 360g","Big Special Burger 360 г","carne porc-vită, sos special, cheddar, bacon","Мясо из свинины и говядины, специальный соус, чеддер, бекон","130","","Big","Большой","contain","TRUE","2"
"american-burger","burger","American Burger 240g","Американский бургер 240 г","pârjoală de porc, roșii, castraveți murați, ceapă, iceberg, sos","Свиная котлета, помидоры, маринованные огурцы, лук, салат айсберг, соус","75","","","","cover","TRUE","3"
